,source_spreadsheet,key,annotator,date_annotated,double_checked_by,date_double_checked,annotation_comments,exclude,time_taken,pub_venue,pub_authors,pub_year,pub_url,system_language,system_input,system_output,system_task,system_application_domain,criterion_verbatim,criterion_definition_verbatim,criterion_paraphrase,criterion_definition_paraphrase,op_form,op_question_prompt_verbatim,op_question_prompt_paraphrase,op_data_type,op_instrument_type,op_instrument_size,op_response_values,op_statistics
0,1,WWAYC2020,SH,08/01/20,N/A,N/A,N/A,N/A,20min,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),table to text generation,Fluency,The meaning of sentence is clearly understood and sentence flows naturally and smoothly,Clarity + Fluency,The meaning of sentence is clearly understood and sentence flows naturally and smoothly,Direct quality estimation,not given,evaluate the fluency of generated texts,Ordinal,Likert Scale,4,"4: The sentence meaning is clear and flow naturally and smoothly.
3: The sentence meaning is clear, but there are
a few interruptions.
2: The sentence does not flow smoothly but people can understand its meaning.
1: The sentence is not fluent at all and people
cannot understand its meaning.",none given
1,1,WWAYC2020,SH,08/01/20,N/A,N/A,N/A,N/A,5min,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),table to text generation,Grammar,Presence of grammar errors,Grammaticality,Presence of grammar errors,Direct quality estimation,not given,evaluate the grammar of generated texts,Ordinal,Likert Scale,4,"4 : There are no grammar errors.
3: There are a few grammar errors, but sentence
meaning is clear.
2: There are some grammar errors, but not influencing its meaning.
1: There are many grammar errors. People cannot understand the sentence meaning.",none given
2,1,WWAYC2020,SH,08/01/20,N/A,N/A,N/A,N/A,20min,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),table to text generation,Faithfulness,"A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.",Adequacy Precision,"A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.","Other (The raters first manually extract entities
from the generated sentences and then calculate
the precision as the percentage of entities in the
generated text also appear in the table)",not given,manually extract entities from the generated sentences and then calculate the precision as the percentage of entities in the generated text also appear in the table,Count,Text Annotation,0-100%,0-100%,precision
3,1,WWAYC2020,SH,08/01/20,N/A,N/A,N/A,N/A,5min,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),table to text generation,Faithfulness,"A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.",Adequacy Recall,"A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.","Other (The raters first manually extract entities
from the generated sentences and then calculate
the recall as the percentage of entities in the table
also appear in the generated text)",not given,"manually extract entities from the generated sentences and then calculate
the recall as the percentage of entities in the table
also appear in the generated text",Count,Text Annotation,0-100%,0-100%,recall
4,1,WWAYC2020,SH,08/01/20,N/A,N/A,N/A,N/A,5min,ACL,"Wang, Wang, An, Yu, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.101.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),table to text generation,Faithfulness,"A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.",Adequacy,"A sentence is faithful if it contains only information supported by the table. It should not contain additional information other than the information provided by the table or inferred from the table. Also, the generated sentence should cover as much information in the given table as possible.","Other (The raters first manually extract entities
from the generated sentences and then then calculate the F-1 score from precision and recall scores)",not given,manually extract entities from the generated sentences and then calculate the F-1 score from precision and recall scores,Count,Text Annotation,0-100%,0-100%,F-1 score
5,1,LBHDC2020,SH,08/01/20,N/A,N/A,N/A,N/A,10min,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,English,text: subsentential units of text,text: sentence,data-to-text generation (no summarisation),Definition generation,Fluency,None given,Fluency,"Degree to which a text ‘ﬂows well’, reads well ",Direct quality estimation,"""rate the output definitions in terms of fluency""",,Ordinal,Numerical Rating Scale,5,1 to 5,none given
6,1,LBHDC2020,SH,08/01/20,N/A,N/A,N/A,N/A,5min,ACL,"Li, Bao, Huang, Dai, & Chen",2020,https://www.aclweb.org/anthology/2020.acl-main.65.pdf,English,text: subsentential units of text,text: sentence,data-to-text generation (no summarisation),Definition generation,Semantic completeness,"must capture all perspectives of the word semantics. For example, it is impossible to precisely define the word “captain” in the context “The captain gave the order to abandon the ship” without knowing that (1) a captain is a person, (2) a captain works in a ship, and (3) a captain usually is in charge of a ship. Therefore, an ideal z should contain sufficient information for predicting the definition.",Adequacy,contains sufficient meaningful information to be the definition of the word,Direct quality estimation,"""rate the output definitions in terms of semantic completeness""",,Ordinal,Numerical Rating Scale,5,1 to 5,none given
7,1,CCSCW2020,SH,08/01/20,N/A,N/A,N/A,N/A,20min,ACL,"Chen, Chen, Su, Chen, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.708.pdf,English,structured data,text: paragraph,data-to-text generation (no summarisation),table to text generation,quality,text should be logically correct and fluent,Adequacy + correctness of content + fluency,"contains appropriate meaningful information, logically correct, and fluent",Direct quality estimation,"""verify their quality""",,Categorical,Verbal Descriptor Scale,4," Specifically, the quality measure is categorized into categories: 1) non-sense:
the sentence does not make much sense, which
is mainly due to disfluency or repetition problem.
2) wrong: a fluent sentence with wrong logic. 3)
partial-correct: the sentence contains more than one
fact, at least one of them is correct 4) correct: the
high-quality in both fluency and logic correctness",none given
8,1,LLJKH2020,SH,08/01/20,N/A,N/A,N/A,N/A,20min,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: paragraph,other (QA pair generation),other (QA pair generation),QA pair generation,overall quality,None given,Nonspecific Quality,appropriates and correctness overall,Relative quality estimation,not given,not clear,Categorical,Unclear,N/A,N/A,none given
9,1,LLJKH2020,SH,08/01/20,N/A,N/A,N/A,N/A,5min,ACL,"Lee, Lee, Jeong, Kim, & Hwang",2020,https://www.aclweb.org/anthology/2020.acl-main.20.pdf,English,text: paragraph,other (QA pair generation),other (QA pair generation),QA pair generation,diversity,None given,Variedness,how diverse the QA pair is,Relative quality estimation,not given,not clear,Categorical,Unclear,N/A,N/A,none given
