,source_spreadsheet,key,annotator,date_annotated,annotation_comments,exclude,time_taken,pub_venue,pub_authors,pub_year,pub_url,system_language,system_input,system_output,system_task,op_response_values,op_instrument_size,op_instrument_type,op_data_type,op_form,op_question_prompt_verbatim,op_question_prompt_paraphrase,op_statistics,criterion_verbatim,criterion_definition_verbatim,criterion_paraphrase,criterion_definition_paraphrase
0,1,CW2020,,22-Aug-2020,,,30min,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,"multiple (list all): text: multiple sentences, text: sentence",text: multiple sentences,question generation,1-3,3,numerical rating scale,ordinal,direct quality estimation,not given,Is the question grammatically correct and fluent to read?,mean,Fluency,measures if a question is grammatically correct and is fluent to read,"59. Multiple (list all): 21. Fluency, 22. Grammaticality","By fluency the authors tested both for grammaticality, ie. whether the generated quetsion was grammatically correct as well as fluency, i.e. whether the question was fluent. "
1,1,CW2020,,22-Aug-2020,,,5min,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,"multiple (list all): text: multiple sentences, text: sentence",text: multiple sentences,question generation,1-3,3,numerical rating scale,ordinal,direct quality estimation,not given,Is the question coherent with respect to previous ones?,mean,Coherence,measures if a question is coherent with previous ones,---------- 9. Coherence,This criterion checked whether the question is coherent with respect to previous ones. 
2,1,CW2020,,22-Aug-2020,,,5min,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,"multiple (list all): text: multiple sentences, text: sentence",text: multiple sentences,question generation,1-3,3,numerical rating scale,ordinal,direct quality estimation,not given,Does the question use correct pronouns?,mean,Coreference,measures if a question uses correct pronouns,---------- 45. Referent resolvability,measures if the generated questions have correct pronouns that make sense in logical ordering
3,1,CW2020,,22-Aug-2020,,,5min,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,"multiple (list all): text: multiple sentences, text: sentence",text: multiple sentences,question generation,1-3,3,numerical rating scale,ordinal,direct quality estimation,not given,is the question answerable with given answers?,mean,Answerability,measures if a question is targeting on the given answer,---------- 5. Answerability from input,measures if the questions can be answered using the given answers
4,1,CW2020,,22-Aug-2020,,,5min,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,"multiple (list all): text: multiple sentences, text: sentence",text: multiple sentences,question generation,1-3,3,numerical rating scale,ordinal,direct quality estimation,not given,Is the question grounded in the given passage? ,mean,Relevance,measures if a question is grounded in the given passage,------ 1. Goodness of outputs relative to input (content),"This criterion checks whether the question is grounded in a given passage, i.e. whether it is relevant. "
5,1,GD2020,,22-Aug-2020,,,20min,ACL,Goyal & Durrett,2020,https://www.aclweb.org/anthology/2020.acl-main.22.pdf,English,text: sentence,text: sentence,paraphrasing / lossless simplification,"0 denotes not a paraphrase, 1 denotes that the input sentence and the generated sentence are paraphrases, but the generated sentence might contain grammatical errors, 2 indicates that the input and the candidate are paraphrases",3,numerical rating scale,ordinal,direct quality estimation,not given,Choose the option that better represents the paraphrase: ,percentage,quality of paraphrase,none given,"59. Multiple (list all): 22. Grammaticality, 39. Quality of outputs",measures if the output is a (grammatical) paraphrase or not
6,1,PXFCK2020,,22-Aug-2020,,,30min,ACL,"Pan, Xie, Feng, Chua, & Kan",2020,https://www.aclweb.org/anthology/2020.acl-main.135.pdf,English,"multiple (list all): text: documents, text: sentence",text: sentence,question generation,1-5,5,numerical rating scale,ordinal,direct quality estimation,not given,Does the question follows the grammar and accords to the correct logic?,mean,Fluency,indicates whether the question follows the grammar and accords with the correct logic,"59. Multiple (list all): 9. Coherence, 22. Grammaticality",measures if the output is grammatical and logical/meaningful
7,1,PXFCK2020,,22-Aug-2020,,,10min,ACL,"Pan, Xie, Feng, Chua, & Kan",2020,https://www.aclweb.org/anthology/2020.acl-main.135.pdf,English,"multiple (list all): text: documents, text: sentence",text: sentence,question generation,1-5,5,numerical rating scale,ordinal,direct quality estimation,not given,Is the question answerable and relevant to the passage?,mean,Relevance,indicates whether the question is answerable and relevant to the passage,"59. Multiple (list all): 5. Answerability from input, 6. Appropriateness (content)",measures if the questions are answerable and appropriate based on input
8,1,PXFCK2020,,22-Aug-2020,,,5min,ACL,"Pan, Xie, Feng, Chua, & Kan",2020,https://www.aclweb.org/anthology/2020.acl-main.135.pdf,English,"multiple (list all): text: documents, text: sentence",text: sentence,question generation,1-5,5,numerical rating scale,ordinal,direct quality estimation,not given,Does the question involve reasoning over multiple sentences from the document?,mean,Complexity,indicates whether the question involves reasoning over multiple sentences from the document,--------------- 11. Text Property [Complexity/simplicity (content)],measures if the questions are complex in nature such that the answers need to be derived from mulitple sentences
9,1,CECLW2020,,22-Aug-2020,,,30min,ACL,"Chen, Eavani, Chen, Liu, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.18.pdf,English,raw/structured data,text: sentence,data-to-text generation (no data summarisation),N/A,N/A,counting,count,evaluation through post-editing/annotation,"""asked to count
how many facts in the generated text are supported
by the table, and how many are contradicting with
or missing from the table""",blank,"average, significance test",Factual correctness,evaluate how well a generated text can correctly convey information in the table,------ 16b. Correctness of outputs relative to input (content),Measures if the facts in the generated text aligns well with the table
10,1,CECLW2020,,22-Aug-2020,,,20min,ACL,"Chen, Eavani, Chen, Liu, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.18.pdf,English,raw/structured data,text: sentence,data-to-text generation (no data summarisation),"select the better one only according to language naturalness, or “Tied” if the two texts are of equal quality",2,rank ordering,rank order,relative quality estimation,"""asked to select the better one
only according to language naturalness, or “Tied”
if the two texts are of equal quality""",blank,"average, significance test",Language naturalness,"evaluate whether the generated text is grammatically correct and fluent in terms of language, regardless of factual correctness","59. Multiple (list all): 21. Fluency, 22. Grammaticality",Measures if the generated text is grammatical and fluent
