,source_spreadsheet,key,annotator,date_annotated,annotation_comments,exclude,time_taken,pub_venue,pub_authors,pub_year,pub_url,system_language,system_input,system_output,system_task,op_response_values,op_instrument_size,op_instrument_type,op_data_type,op_form,op_question_prompt_verbatim,op_question_prompt_paraphrase,op_statistics,criterion_verbatim,criterion_definition_verbatim,criterion_paraphrase,criterion_definition_paraphrase
0,1,CW2020,,,,,35mins for paper,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,text: multiple sentences,text: multiple sentences,question generation,"1, 2, 3",3,numerical rating scale,ordinal,direct quality estimation,not given,is the question grammatically correct and fluent to read,"mean, one-side paired t-test",Fluency,measures if a question is grammatically correct and is fluent to read,"59. Multiple (list all): ---------- 21. Fluency, ---------- 22. Grammaticality",degree to which output is grammatical and fluent
1,1,CW2020,,,,,,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,text: multiple sentences,text: multiple sentences,question generation,"1, 2, 3",3,numerical rating scale,ordinal,direct quality estimation,not given,is the question coherent with previous ones,"mean, one-side paired t-test",Coherence,measures if a question is coherent with previous ones,---------- 9. Coherence,degree to which output in context of preceding questions is coherent 
2,1,CW2020,,,,,,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,text: multiple sentences,text: multiple sentences,question generation,"1, 2, 3",3,numerical rating scale,ordinal,direct quality estimation,not given,does the question use correct pronouns,"mean, one-side paired t-test",Coreference,measures if a question uses correct pronouns,------ 14. Correctness of outputs in their own right (form),degree to which output uses pronouns correctly
3,1,CW2020,,,,,,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,text: multiple sentences,text: multiple sentences,question generation,"1, 2, 3",3,numerical rating scale,ordinal,direct quality estimation,not given,does the question target the given answer,"mean, one-side paired t-test",Answerability,measures if a question is targeting on the given answer,---------- 5. Answerability from input,degree to which ouput is answerable from input
4,1,CW2020,,,,,,ACL,Chai & Wan,2020,https://www.aclweb.org/anthology/2020.acl-main.21.pdf,English,text: multiple sentences,text: multiple sentences,question generation,"1, 2, 3",3,numerical rating scale,ordinal,direct quality estimation,not given,is the question grounded in the given passage,"mean, one-side paired t-test",Relevance,measures if a question is grounded in the given passage,------ 1. Goodness of outputs relative to input (content),degree to which output is a relevant question to ask given input
5,1,GD2020,,,,,20mins for paper,ACL,Goyal & Durrett,2020,https://www.aclweb.org/anthology/2020.acl-main.22.pdf,English,text: sentence,text: sentence,paraphrasing / lossless simplification,"2 = grammatical paraphrase, 1 = ungrammatical paraphrase, 0 = not a paraphrase",3,verbal descriptor scale,ordinal,direct quality estimation,not given,assess the quality of the sentence in terms of the 3-point scale,"mean, paired bootstrap",Quality,none given,------ 39g. Goodness of outputs relative to input (both form and content),degree to which output is good as a paraphrase as well as grammatical
6,1,PXFCK2020,,,,,25mins for paper,ACL,"Pan, Xie, Feng, Chua, & Kan",2020,https://www.aclweb.org/anthology/2020.acl-main.135.pdf,English,text: documents,text: sentence,question generation,1 (poor) to 5 (good),5,numerical rating scale,ordinal,direct quality estimation,not given,how good is the question in terms of grammaticality and logic,mean,Fluency,indicates whether the question follows the grammar and accords with the correct logic,"59. Multiple (list all): ---------- 9. Coherence, ---------- 22. Grammaticality, ",degree to which output is grammatical and logical
7,1,PXFCK2020,,,,,,ACL,"Pan, Xie, Feng, Chua, & Kan",2020,https://www.aclweb.org/anthology/2020.acl-main.135.pdf,English,text: documents,text: sentence,question generation,1 (poor) to 5 (good),5,numerical rating scale,ordinal,direct quality estimation,not given,how answerable and relevant is the question to the input passage,mean,Relevance,indicates whether the question is answerable and relevant to the passage,"59. Multiple (list all):  ------ 1. Goodness of outputs relative to input (content), ---------- 5. Answerability from input","degree to which output can be answered from input, and is a relevant question to ask given the input"
8,1,PXFCK2020,,,,,,ACL,"Pan, Xie, Feng, Chua, & Kan",2020,https://www.aclweb.org/anthology/2020.acl-main.135.pdf,English,text: documents,text: sentence,question generation,1 (poor) to 5 (good),5,numerical rating scale,ordinal,direct quality estimation,not given,how good is the question in terms of reasoning over multiple sentences from the input document,mean,Complexity,indicates whether the question involves reasoning over multiple sentences from the document,--------------- 11. Text Property [Complexity/simplicity (content)],degree to which the output reasons over multiple sentences in the input
9,1,CECLW2020,,,,,45mins for paper,ACL,"Chen, Eavani, Chen, Liu, & Wang",2020,https://www.aclweb.org/anthology/2020.acl-main.18.pdf,English,raw/structured data,text: variable-length,data-to-text generation (no data summarisation),N/A,N/A,counting,count,other (please specify): counting occurrences in text,not given,"Looking at both the input table and the generated text, count how many facts in the generated text are supported by the table, and how many are contradicting with or missing from the table",mean,Factual correctness,"how well the generated text correctly conveys information in the table, by counting the number of facts in the text supported by the table, and contradicting with or missing from the table",------ 16b. Correctness of outputs relative to input (content),how many of the facts contained in the output are supported by the input and how many facts contained in the input are not expressed in the output
